physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG4-7,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,28.1496864041246,24.540464378809787,-3.609222025314814
BCG4-7,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.94146038133622,35.248967913359834,-10.692492467976386
BCG4-7,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,42.163772575814,27.644432174261528,-14.519340401552473
BCG4-7,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,59.22562393592244,42.9482441835932,-16.277379752329246
BCG4-8,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,28.644634454788417,23.91252200066845,-4.732112454119967
BCG4-8,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,46.31587880602031,37.5955335295679,-8.720345276452406
BCG4-8,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.91342311208472,28.636021264772573,-12.277401847312149
BCG4-8,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,55.7275577922268,43.71140246342106,-12.016155328805738
BCG1-1,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,46.96433362588622,33.967942008112935,-12.996391617773284
BCG1-1,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.29537895391236,39.596350701210326,-11.699028252702036
BCG1-1,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,38.87450265180157,29.12051085143668,-9.75399180036489
BCG1-1,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,49.90318899809174,41.53133066958311,-8.37185832850863
BCG1-2,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,44.6711956488272,36.77626473365112,-7.894930915176083
BCG1-2,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,50.30756549112483,39.5215295564973,-10.786035934627527
BCG1-2,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,39.66750847640087,28.88223246725145,-10.78527600914942
BCG1-2,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,55.96359334599644,42.85623348851133,-13.107359857485115
BCG1-3,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,46.9902765159737,39.83829978213565,-7.1519767338380476
